DATETIME,PM2.5,TARGET,PM25_LAG_1,PM25_LAG_3,PM25_LAG_6,PM25_LAG_24,PM25_LAG_168,PM25_ROLLING_MEAN_3,PM25_ROLLING_STD_3,PM25_ROLLING_MEAN_6,PM25_ROLLING_STD_6,PM25_ROLLING_MEAN_24,PM25_ROLLING_STD_24,PM25_ROLLING_MEAN_168,PM25_ROLLING_STD_168,HOUR_SIN,HOUR_COS,DOW_SIN,DOW_COS,MONTH_SIN,MONTH_COS,WIND_DIR_SIN_LAG1,WIND_DIR_COS_LAG1,PM10_LAG_1,PM10_LAG_24,SO2_LAG_1,SO2_LAG_24,NO2_LAG_1,NO2_LAG_24,CO_LAG_1,CO_LAG_24,O3_LAG_1,O3_LAG_24,TEMP_LAG_1,TEMP_LAG_24,PRES_LAG_1,PRES_LAG_24,DEWP_LAG_1,DEWP_LAG_24,RAIN_LAG_1,RAIN_LAG_24,WSPM_LAG_1,WSPM_LAG_24
2013-03-01 00:00:00,4.0,8.0,,,,,,,,,,,,,,0.0,1.0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,,,,,,,,,,,,,,,,,,,,,,
2013-03-01 01:00:00,8.0,7.0,4.0,,,,,,,,,,,,,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,-0.38268343236508956,0.9238795325112868,4.0,,4.0,,7.0,,300.0,,77.0,,-0.7,,1023.0,,-18.8,,0.0,,4.4,
2013-03-01 02:00:00,7.0,6.0,8.0,,,,,,,,,,,,,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0.0,1.0,8.0,,4.0,,7.0,,300.0,,77.0,,-1.1,,1023.2,,-18.2,,0.0,,4.7,
2013-03-01 03:00:00,6.0,3.0,7.0,4.0,,,,6.333333333333333,2.081665999466133,,,,,,,0.7071067811865475,0.7071067811865476,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,-0.38268343236508956,0.9238795325112868,7.0,,5.0,,10.0,,300.0,,73.0,,-1.1,,1023.5,,-18.2,,0.0,,5.6,
2013-03-01 04:00:00,3.0,5.0,6.0,8.0,,,,7.0,1.0000000000000004,,,,,,,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,-0.7071067811865477,0.7071067811865474,6.0,,11.0,,11.0,,300.0,,72.0,,-1.4,,1024.5,,-19.4,,0.0,,3.1,
2013-03-01 05:00:00,5.0,3.0,3.0,7.0,,,,5.333333333333333,2.081665999466133,,,,,,,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0.0,1.0,3.0,,12.0,,12.0,,300.0,,72.0,,-2.0,,1025.2,,-19.5,,0.0,,2.0,
2013-03-01 06:00:00,3.0,3.0,5.0,6.0,4.0,,,4.666666666666667,1.5275252316519465,5.5,1.8708286933869709,,,,,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0.0,1.0,5.0,,18.0,,18.0,,400.0,,66.0,,-2.2,,1025.6,,-19.6,,0.0,,3.7,
2013-03-01 07:00:00,3.0,3.0,3.0,3.0,8.0,,,3.6666666666666665,1.1547005383792515,5.333333333333333,2.0655911179772892,,,,,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0.3826834323650898,0.9238795325112867,3.0,,18.0,,32.0,,500.0,,50.0,,-2.6,,1026.5,,-19.1,,0.0,,2.5,
2013-03-01 08:00:00,3.0,3.0,3.0,5.0,7.0,,,3.6666666666666665,1.1547005383792515,4.5,1.760681686165901,,,,,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,-0.38268343236508956,0.9238795325112868,6.0,,19.0,,41.0,,500.0,,43.0,,-1.6,,1027.4,,-19.1,,0.0,,3.8,
2013-03-01 09:00:00,3.0,3.0,3.0,3.0,6.0,,,3.0,0.0,3.8333333333333335,1.3291601358251257,,,,,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,-0.38268343236508956,0.9238795325112868,6.0,,16.0,,43.0,,500.0,,45.0,,0.1,,1028.3,,-19.2,,0.0,,4.1,
